#pos_m1, pos_m2, pos_m3 [mm]
86.499816, 25.00003, 25.000038
84.999984, 25.000004, 25.000004
84.999984, 25.000004, 25.000004
85.000016, 25.000004, 27.800214
84.500007, 25.000004, 27.800054
84.500007, 25.000004, 27.749939
83.999997, 25.000004, 27.749981
83.999997, 25.000004, 27.700044
83.499987, 25.000004, 27.700018
83.499987, 25.000004, 27.649954
82.999978, 25.000004, 27.649996
82.999978, 25.000004, 27.600042
82.499967, 25.000004, 27.600025
82.499967, 25.000004, 27.549961
81.999954, 25.000004, 27.549995
81.999954, 25.000004, 27.500057
81.499944, 25.000004, 27.500032
81.499944, 25.000004, 27.449984
80.999935, 25.000004, 27.45001
80.999935, 25.000004, 27.400038
80.499925, 25.000004, 27.400038
80.499925, 25.000004, 27.349983
79.999915, 25.000004, 27.350008
79.999915, 25.000004, 27.300053
79.499905, 25.000004, 27.300045
79.499905, 25.000004, 27.249998
78.999895, 25.000004, 27.250023
78.999895, 25.000004, 27.20006
78.499885, 25.000004, 27.200052
78.499885, 25.000004, 27.149987
85.000016, 25.000004, 27.150047
85.000016, 25.000004, 27.150047
85.000016, 25.000004, 27.800138
84.500007, 25.000004, 27.800037
84.500007, 25.000004, 27.749931
83.999997, 25.000004, 27.749981
83.999997, 25.000004, 27.700044
83.499987, 25.000004, 27.700018
83.499987, 25.000004, 27.649963
82.999978, 25.000004, 27.649988
82.999978, 25.000004, 27.600042
82.499967, 25.000004, 27.600025
82.499967, 25.000004, 27.549961
81.999987, 25.000004, 27.55002
81.999987, 25.000004, 27.55002
81.999987, 25.000004, 27.800147
81.499977, 25.000004, 27.800045
81.499977, 25.000004, 27.749939
80.999935, 25.000004, 27.749981
80.999968, 25.000004, 27.700044
80.499957, 25.000004, 27.700018
80.499957, 25.000004, 27.649963
82.000023, 25.000004, 27.650013
82.000023, 25.000004, 27.650013
81.999987, 25.000004, 27.800104
81.499977, 25.000004, 27.800028
81.499977, 25.000004, 27.749931
80.999968, 25.000004, 27.749981
80.999968, 25.000004, 27.700044
80.499957, 25.000004, 27.700018
80.499957, 25.000004, 27.649963
79.999948, 25.000004, 27.649988
79.999948, 25.000004, 27.600033
82.000056, 25.000004, 27.600017
82.000023, 25.000004, 27.600017
81.999987, 25.000004, 27.800071
81.499977, 25.000004, 27.800037
81.499977, 25.000004, 27.749947
80.999968, 25.000004, 27.749981
80.999968, 25.000004, 27.700044
80.499957, 25.000004, 27.700018
80.499957, 25.000004, 27.649963
79.999948, 25.000004, 27.649996
79.999948, 25.000004, 27.600033
79.499938, 25.000004, 27.600025
79.499938, 25.000004, 27.549961
78.999928, 25.000004, 27.549995
78.999928, 25.000004, 27.500048
78.499918, 25.000004, 27.500032
78.499918, 25.000004, 27.449984
77.999908, 25.000004, 27.45001
77.999908, 25.000004, 27.400038
77.499898, 25.000004, 27.40003
77.499898, 25.000004, 27.349991
76.999889, 25.000004, 27.350008
76.999889, 25.000004, 27.300053
76.499878, 25.000004, 27.300045
76.499878, 25.000004, 27.249998
75.999865, 25.000004, 27.250023
75.999865, 25.000004, 27.20006
75.499855, 25.000004, 27.200052
75.499855, 25.000004, 27.149996
74.999846, 25.000004, 27.150021
74.999846, 25.000004, 27.100067
74.499836, 25.000004, 27.100058
74.499836, 25.000004, 27.050019
73.999826, 25.000004, 27.050036
73.999826, 25.000004, 27.000065
73.499816, 25.000004, 27.000057
73.499816, 25.000004, 26.950026
72.999806, 25.000004, 26.950043
72.999806, 25.000004, 26.900055
72.499796, 25.000004, 26.900055
72.499796, 25.000004, 26.850058
71.999786, 25.000004, 26.850058
71.999786, 25.000004, 26.800045
71.499776, 25.000004, 26.80007
71.499776, 25.000004, 26.75009
70.999767, 25.000004, 26.750082
70.999767, 25.000004, 26.700026
70.499756, 25.000004, 26.700051
70.499756, 25.000004, 26.650097
69.999744, 25.000004, 26.650088
69.999744, 25.000004, 26.600041
69.499733, 25.000004, 26.600066
69.499733, 25.000004, 26.550103
68.999724, 25.000004, 26.550095
68.999724, 25.000004, 26.500048
68.499714, 25.000004, 26.500073
68.499714, 25.000004, 26.45011
67.999704, 25.000004, 26.450102
67.999704, 25.000004, 26.400063
67.499694, 25.000004, 26.40008
67.499694, 25.000004, 26.3501
66.999684, 25.000004, 26.3501
66.999684, 25.000004, 26.300078
66.499674, 25.000004, 26.300086
66.499674, 25.000004, 26.250098
65.999665, 25.000004, 26.250098
65.999665, 25.000004, 26.200093
65.499654, 25.000004, 26.200093
65.499654, 25.000004, 26.150096
64.999645, 25.000004, 26.150105
64.999645, 25.000004, 26.1001
64.499635, 25.000004, 26.1001
64.499635, 25.000004, 26.050111
63.999622, 25.000004, 26.050111
63.999622, 25.000004, 26.000098
63.499612, 25.000004, 26.000106
63.499612, 25.000004, 25.950126
62.999602, 25.000004, 25.950126
62.999602, 25.000004, 25.900096
62.499592, 25.000004, 25.900113
62.499592, 25.000004, 25.850142
61.999648, 25.000004, 25.850142
61.999615, 25.000004, 25.800086
